year,Alaska,Arizona,Alabama,Arkansas,Connecticut,Colorado,California,Georgia,Florida,Delaware,Illinois,Idaho,Hawaii,Kansas,Iowa,Indiana,Kentucky,Louisiana,Maine,Massachusetts,Maryland,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,North Carolina,North Dakota,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,Wisconsin,West Virginia,Wyoming,Total,below,medium
1990,553.12,3679.056,4048.508,2354.343,3289.056,3303.862,29950.111,6506.531,13018.365,669.063,11446.979,1011.882,1112.703,2480.683,2779.769,5555.097,3692.584,4219.179,1231.296,6018.664,4797.431,9310.462,4387.283,2577.426,5126.37,799.824,1580.664,1111.831,7757.158,1519.933,1218.629,6656.987,637.364,18002.855,10861.837,3147.105,2858.547,11895.604,1004.649,3499.064,696.667,4890.626,17044.714,1729.722,564.526,6213.526,4900.78,4902.265,1792.481,453.401,248860.582,2439.809627,4879.619255
1991,569.273,3762.394,4091.025,2370.666,3288.64,3367.567,30414.114,6621.279,13289.497,680.495,11535.973,1038.915,1131.412,2495.209,2791.227,5602.062,3714.686,4240.95,1235.439,5998.652,4856.176,9395.022,4427.429,2591.23,5157.77,807.837,1590.805,1107.055,7784.269,1547.115,1285.046,6748.135,634.199,18029.532,10933.683,3166.471,2918.745,11943.16,1003.99,3559.47,701.445,4946.886,17339.904,1771.941,567.141,6283.853,5013.443,4952.675,1798.212,457.739,251559.853,2466.273069,4932.546137
1992,587.073,3867.333,4139.269,2394.098,3274.997,3459.995,30875.92,6759.474,13504.775,690.158,11635.197,1066.49,1149.926,2526.042,2806.923,5648.649,3756.358,4270.849,1235.748,5993.474,4902.545,9470.323,4471.503,2610.193,5193.686,822.436,1602.406,1112.766,7827.77,1580.75,1330.694,6831.85,635.427,18082.032,11007.609,3204.174,2973.934,11980.819,1000.571,3600.576,708.698,5013.999,17650.479,1821.498,570.115,6383.315,5139.011,5004.636,1805.462,463.491,254445.516,2494.563882,4989.127765
1993,596.993,3993.39,4193.114,2423.743,3272.325,3560.884,31147.208,6894.092,13713.593,699.475,11725.984,1101.204,1161.508,2547.605,2820.525,5701.965,3792.288,4284.749,1238.256,6010.884,4942.504,9529.24,4521.709,2635.574,5237.757,839.876,1612.149,1122.191,7874.891,1614.937,1380.197,6947.412,637.229,18140.894,11070.385,3228.829,3034.49,12022.128,997.852,3634.507,716.258,5085.666,17996.764,1875.993,574.004,6464.795,5247.704,5055.318,1816.179,469.033,257206.25,2521.629902,5043.259804
1994,600.624,4147.561,4232.965,2450.605,3268.346,3653.91,31317.179,7045.9,13961.798,708.416,11804.986,1135.459,1173.903,2569.118,2829.422,5745.626,3823.215,4306.5,1237.687,6031.352,4985.411,9584.481,4566.028,2663.45,5281.206,854.923,1621.551,1133.054,7918.796,1653.329,1456.388,7060.959,639.762,18156.652,11111.451,3246.119,3087.142,12042.545,993.412,3666.456,723.038,5163.016,18338.319,1930.436,578.9,6536.771,5334.896,5095.504,1818.49,474.982,259762.039,2546.686657,5093.373314
1995,601.345,4306.908,4262.731,2480.121,3265.293,3738.061,31493.525,7188.538,14185.403,718.265,11884.935,1165,1180.49,2586.942,2840.86,5791.819,3855.248,4327.978,1237.438,6062.335,5023.65,9659.871,4605.445,2690.788,5324.61,868.522,1635.142,1145.604,7965.523,1682.417,1525.777,7185.403,641.548,18150.928,11155.493,3265.547,3141.421,12044.78,989.203,3699.943,728.251,5241.168,18679.706,1976.774,582.827,6601.392,5431.024,5137.004,1820.56,478.447,262252.003,2571.098069,5142.196137
1996,604.918,4432.308,4290.403,2504.858,3267.03,3812.716,31780.829,7332.225,14426.911,727.09,11953.003,1187.706,1184.434,2598.266,2848.473,5834.908,3881.051,4338.763,1241.436,6085.393,5057.142,9739.184,4647.723,2709.925,5367.888,876.656,1647.657,1160.768,8009.624,1706.151,1596.476,7307.658,642.858,18143.805,11187.032,3289.634,3195.087,12038.008,987.858,3738.974,730.699,5313.576,19006.24,2022.253,586.352,6665.491,5509.963,5173.828,1818.983,480.085,264690.299,2595.002931,5190.005863
1997,608.846,4552.207,4320.281,2524.007,3268.514,3891.293,32217.708,7486.094,14683.35,735.024,12011.509,1210.638,1189.322,2616.339,2854.396,5872.37,3907.816,4351.39,1245.215,6115.476,5092.914,9785.45,4687.726,2731.826,5407.113,878.706,1656.042,1173.239,8054.178,1722.939,1675.581,7428.672,640.945,18143.184,11212.498,3314.259,3243.254,12015.888,986.966,3790.066,730.855,5378.433,19355.427,2065.397,588.665,6732.878,5604.105,5200.235,1815.588,480.031,267254.855,2620.145637,5240.291275
1998,615.205,4667.277,4351.037,2538.202,3272.563,3968.967,32682.794,7636.522,14908.23,744.066,12069.774,1230.923,1190.472,2638.667,2861.025,5907.617,3934.31,4362.758,1247.554,6144.407,5130.072,9820.231,4726.411,2751.335,5437.562,879.533,1660.772,1185.823,8095.542,1733.535,1743.772,7545.828,637.808,18159.175,11237.752,3339.478,3282.055,12002.329,987.704,3839.578,730.789,5432.679,19712.389,2100.562,590.579,6789.225,5687.832,5222.124,1811.688,480.045,269726.577,2644.378206,5288.756412
1999,619.5,4778.332,4369.862,2551.373,3282.031,4056.133,33145.121,7788.24,15111.244,753.538,12128.37,1251.7,1185.497,2654.052,2869.413,5942.901,3960.825,4372.035,1253.04,6175.169,5171.634,9863.775,4775.508,2768.619,5468.338,882.779,1666.028,1201.134,8143.412,1739.844,1809.253,7650.789,633.666,18196.601,11256.654,3358.044,3316.154,11994.016,990.819,3885.736,733.133,5483.535,20044.141,2129.836,593.74,6872.912,5756.361,5250.446,1806.928,479.602,272171.813,2668.351108,5336.702216
