State,1/1/90,1/1/91,1/1/92,1/1/93,1/1/94,1/1/95,1/1/96,1/1/97,1/1/98,1/1/99,1/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16,1/1/17,1/1/18,1/1/19
Alaska,553.12,569.273,587.073,596.993,600.624,601.345,604.918,608.846,615.205,619.5,627.963,633.714,642.337,648.414,659.286,666.946,675.302,680.3,687.455,698.895,713.91,722.128,730.443,737.068,736.283,737.498,741.456,739.7,735.139,731.545
Arizona,3679.056,3762.394,3867.333,3993.39,4147.561,4306.908,4432.308,4552.207,4667.277,4778.332,5160.586,5273.477,5396.255,5510.364,5652.404,5839.077,6029.141,6167.681,6280.362,6343.154,6407.172,6472.643,6554.978,6632.764,6730.413,6829.676,6941.072,7044.008,7158.024,7278.717
Alabama,4048.508,4091.025,4139.269,4193.114,4232.965,4262.731,4290.403,4320.281,4351.037,4369.862,4452.173,4467.634,4480.089,4503.491,4530.729,4569.805,4628.981,4672.84,4718.206,4757.938,4785.437,4799.069,4815.588,4830.081,4841.799,4852.347,4863.525,4874.486,4887.681,4903.185
Arkansas,2354.343,2370.666,2394.098,2423.743,2450.605,2480.121,2504.858,2524.007,2538.202,2551.373,2678.588,2691.571,2705.927,2724.816,2749.686,2781.097,2821.761,2848.65,2874.554,2896.843,2921.964,2940.667,2952.164,2959.4,2967.392,2978.048,2989.918,3001.345,3009.733,3017.804
Connecticut,3289.056,3288.64,3274.997,3272.325,3268.346,3265.293,3267.03,3268.514,3272.563,3282.031,3411.777,3432.835,3458.749,3484.336,3496.094,3506.956,3517.46,3527.27,3545.579,3561.807,3579.114,3588.283,3594.547,3594.841,3594.524,3587.122,3578.141,3573.297,3571.52,3565.287
Colorado,3303.862,3367.567,3459.995,3560.884,3653.91,3738.061,3812.716,3891.293,3968.967,4056.133,4326.921,4425.687,4490.406,4528.732,4575.013,4631.888,4720.423,4803.868,4889.73,4972.195,5047.349,5121.108,5192.647,5269.035,5350.101,5450.623,5539.215,5611.885,5691.287,5758.736
California,29950.111,30414.114,30875.92,31147.208,31317.179,31493.525,31780.829,32217.708,32682.794,33145.121,33987.977,34479.458,34871.843,35253.159,35574.576,35827.943,36021.202,36250.311,36604.337,36961.229,37319.502,37638.369,37948.8,38260.787,38596.972,38918.045,39167.117,39358.497,39461.588,39512.223
Georgia,6506.531,6621.279,6759.474,6894.092,7045.9,7188.538,7332.225,7486.094,7636.522,7788.24,8227.303,8377.038,8508.256,8622.793,8769.252,8925.922,9155.813,9349.988,9504.843,9620.846,9711.881,9802.431,9901.43,9972.479,10067.278,10178.447,10301.89,10410.33,10511.131,10617.423
Florida,13018.365,13289.497,13504.775,13713.593,13961.798,14185.403,14426.911,14683.35,14908.23,15111.244,16047.515,16356.966,16689.37,17004.085,17415.318,17842.038,18166.99,18367.842,18527.305,18652.644,18845.537,19053.237,19297.822,19545.621,19845.911,20209.042,20613.477,20963.613,21244.317,21477.737
Delaware,669.063,680.495,690.158,699.475,708.416,718.265,727.09,735.024,744.066,753.538,786.373,795.699,806.169,818.003,830.803,845.15,859.268,871.749,883.874,891.73,899.593,907.381,915.179,923.576,932.487,941.252,948.921,956.823,965.479,973.764
Illinois,11446.979,11535.973,11635.197,11725.984,11804.986,11884.935,11953.003,12011.509,12069.774,12128.37,12434.161,12488.445,12525.556,12556.006,12589.773,12609.903,12643.955,12695.866,12747.038,12796.778,12840.503,12867.454,12882.51,12895.129,12884.493,12858.913,12820.527,12778.828,12723.071,12671.821
Idaho,1011.882,1038.915,1066.49,1101.204,1135.459,1165,1187.706,1210.638,1230.923,1251.7,1299.43,1319.962,1340.372,1363.38,1391.802,1428.241,1468.669,1505.105,1534.32,1554.439,1570.746,1583.91,1595.324,1611.206,1631.112,1651.059,1682.38,1717.715,1750.536,1787.065
Hawaii,1112.703,1131.412,1149.926,1161.508,1173.903,1180.49,1184.434,1189.322,1190.472,1185.497,1213.519,1225.948,1239.613,1251.154,1273.569,1292.729,1309.731,1315.675,1332.213,1346.717,1363.963,1379.329,1394.804,1408.243,1414.538,1422.052,1427.559,1424.393,1420.593,1415.872
Kansas,2480.683,2495.209,2526.042,2547.605,2569.118,2586.942,2598.266,2616.339,2638.667,2654.052,2693.681,2702.162,2713.535,2723.004,2734.373,2745.299,2762.931,2783.785,2808.076,2832.704,2858.19,2869.225,2885.257,2893.212,2900.475,2909.011,2910.844,2908.718,2911.359,2913.314
Iowa,2779.769,2791.227,2806.923,2820.525,2829.422,2840.86,2848.473,2854.396,2861.025,2869.413,2929.067,2931.997,2934.234,2941.999,2953.635,2964.454,2982.644,2999.212,3016.734,3032.87,3050.745,3066.336,3076.19,3092.997,3109.35,3120.96,3131.371,3141.55,3148.618,3155.07
Indiana,5555.097,5602.062,5648.649,5701.965,5745.626,5791.819,5834.908,5872.37,5907.617,5942.901,6091.866,6127.76,6155.967,6196.638,6233.007,6278.616,6332.669,6379.599,6424.806,6459.325,6490.432,6516.528,6537.703,6568.713,6593.644,6608.422,6634.304,6658.078,6695.497,6732.219
Kentucky,3692.584,3714.686,3756.358,3792.288,3823.215,3855.248,3881.051,3907.816,3934.31,3960.825,4049.021,4068.132,4089.875,4117.17,4146.101,4182.742,4219.239,4256.672,4289.878,4317.074,4348.181,4369.821,4386.346,4404.659,4414.349,4425.976,4438.182,4452.268,4461.153,4467.673
Louisiana,4219.179,4240.95,4270.849,4284.749,4306.5,4327.978,4338.763,4351.39,4362.758,4372.035,4471.885,4477.875,4497.267,4521.042,4552.238,4576.628,4302.665,4375.581,4435.586,4491.648,4544.532,4575.625,4600.972,4624.527,4644.013,4664.628,4678.135,4670.56,4659.69,4648.794
Maine,1231.296,1235.439,1235.748,1238.256,1237.687,1237.438,1241.436,1245.215,1247.554,1253.04,1277.072,1285.692,1295.96,1306.513,1313.688,1318.787,1323.619,1327.04,1330.509,1329.59,1327.629,1328.284,1327.729,1328.009,1330.513,1328.262,1331.317,1334.612,1339.057,1344.212
Massachusetts,6018.664,5998.652,5993.474,6010.884,6031.352,6062.335,6085.393,6115.476,6144.407,6175.169,6361.104,6397.634,6417.206,6422.565,6412.281,6403.29,6410.084,6431.559,6468.967,6517.613,6566.307,6613.583,6663.005,6713.315,6762.596,6794.228,6823.608,6859.789,6882.635,6892.503
Maryland,4797.431,4856.176,4902.545,4942.504,4985.411,5023.65,5057.142,5092.914,5130.072,5171.634,5311.034,5374.691,5440.389,5496.269,5546.935,5592.379,5627.367,5653.408,5684.965,5730.388,5788.645,5839.419,5886.992,5923.188,5957.283,5985.562,6003.323,6023.868,6035.802,6045.68
Michigan,9310.462,9395.022,9470.323,9529.24,9584.481,9659.871,9739.184,9785.45,9820.231,9863.775,9952.45,9991.12,10015.71,10041.152,10055.315,10051.137,10036.081,10001.284,9946.889,9901.591,9877.51,9882.412,9897.145,9913.065,9929.848,9931.715,9950.571,9973.114,9984.072,9986.857
Minnesota,4387.283,4427.429,4471.503,4521.709,4566.028,4605.445,4647.723,4687.726,4726.411,4775.508,4933.692,4982.796,5018.935,5053.572,5087.713,5119.598,5163.555,5207.203,5247.018,5281.203,5310.828,5346.143,5376.643,5413.479,5451.079,5482.032,5522.744,5566.23,5606.249,5639.632
Mississippi,2577.426,2591.23,2610.193,2635.574,2663.45,2690.788,2709.925,2731.826,2751.335,2768.619,2848.353,2852.994,2858.681,2868.312,2889.01,2905.943,2904.978,2928.35,2947.806,2958.774,2970.548,2978.731,2983.816,2988.711,2990.468,2988.471,2987.938,2988.51,2981.02,2976.149
Missouri,5126.37,5157.77,5193.686,5237.757,5281.206,5324.61,5367.888,5407.113,5437.562,5468.338,5607.285,5641.142,5674.825,5709.403,5747.741,5790.3,5842.704,5887.612,5923.916,5961.088,5995.974,6010.275,6024.367,6040.715,6056.202,6071.732,6087.135,6106.67,6121.623,6137.428
