"SAGDP1 Gross Domestic Product (GDP) summary, annual by state"
"Real Gross Domestic Product (GDP) (Percent change from preceding period)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018"
"00000","United States",4.5,4.8,4.1,1.0,1.7,2.9,3.8,3.5,2.9,1.9,-0.1,-2.5,2.6,1.6,2.2,1.8,2.5,2.9,1.6,2.4,2.9
"01000","Alabama",3.4,3.7,1.6,-0.1,2.9,2.6,6.4,3.3,1.9,0.6,-0.3,-3.9,2.4,1.5,0.7,1.0,-0.7,1.3,0.7,1.2,2.8
"02000","Alaska",-2.6,-1.1,-3.0,3.7,4.7,-1.7,3.8,3.0,7.7,5.4,-0.5,9.7,-3.0,0.9,5.5,-5.1,-2.7,1.0,-2.0,0.0,0.7
"04000","Arizona",8.7,8.2,4.9,2.3,3.1,6.4,4.2,8.1,5.4,2.7,-2.6,-8.1,0.9,2.2,1.9,0.7,1.3,2.4,3.2,3.5,4.1
"05000","Arkansas",2.5,5.3,1.0,-0.3,3.3,3.9,4.8,3.4,2.2,-0.7,-0.3,-3.1,3.3,2.2,0.4,2.8,1.0,0.8,0.6,0.7,1.7
"06000","California",6.7,7.6,8.1,-0.4,2.4,4.7,4.2,4.6,4.1,1.5,0.4,-4.0,1.6,1.6,2.5,3.6,4.1,5.0,3.0,4.4,4.3
"08000","Colorado",9.2,7.6,7.6,1.6,0.2,0.7,0.9,4.2,2.1,3.3,1.2,-2.0,0.9,1.5,1.8,3.3,4.7,4.6,2.4,4.0,3.5
"09000","Connecticut",2.9,3.0,7.0,1.8,-0.1,1.0,6.7,2.3,3.8,3.8,-0.5,-4.5,-0.2,-2.2,0.7,-1.1,-1.4,2.2,0.0,0.4,0.5
"10000","Delaware",10.0,8.3,4.2,4.9,-3.5,2.0,4.7,-1.2,2.5,-0.4,-4.2,3.0,-0.6,3.3,-0.1,-4.5,7.3,3.7,-4.2,-0.6,0.0
"11000","District of Columbia",2.0,4.3,0.7,3.8,3.0,2.0,5.1,2.2,0.3,2.7,3.7,-0.4,3.4,1.9,0.7,-0.1,2.0,2.0,2.0,1.2,2.5
"12000","Florida",5.2,4.5,4.2,2.5,4.0,4.4,5.8,6.5,3.5,0.2,-3.9,-5.6,1.0,-0.3,0.7,1.9,2.7,4.2,3.3,3.4,3.2
"13000","Georgia",7.2,7.1,4.1,0.9,0.8,2.6,4.6,3.8,1.1,0.5,-2.1,-3.9,1.6,1.6,1.0,1.5,3.3,3.4,3.5,3.7,2.4
"15000","Hawaii",-2.4,1.5,2.2,-0.7,3.4,5.1,6.7,5.6,2.7,1.1,0.7,-3.6,2.8,1.5,2.1,0.9,0.3,3.6,2.2,2.3,2.4
"16000","Idaho",4.8,9.6,11.4,-2.7,2.5,2.8,5.6,8.1,4.0,1.9,1.7,-4.4,1.4,-0.2,-0.1,3.6,2.6,2.8,3.9,3.5,4.0
