state,year,congress house,congress sen class 1,congress sen class 2,congress sen class 3,electoral,governor,legislature house,legislature sen,congress sen
alabama,1980,"4D, 3R",,D,D,R,D,"101D, 4R",35D,2D
alabama,1981,"4D, 3R",,D,R,R,D,"101D, 4R",35D,"1D,1R"
alabama,1982,"4D, 3R",,D,R,R,D,"101D, 4R",35D,"1D,1R"
alabama,1983,"5D, 2R",,D,R,R,D,"97D, 8R","32D, 3R","1D,1R"
alabama,1984,"5D, 2R",,D,R,R,D,"87D, 18R","29D, 3R, 3I","1D,1R"
alabama,1985,"5D, 2R",,D,R,R,D,"87D, 18R","29D, 3R, 3I","1D,1R"
alabama,1986,"5D, 2R",,D,R,R,D,"87D, 18R","29D, 3R, 3I","1D,1R"
alabama,1987,"5D, 2R",,D,D,R,R,"89D, 16R","30D, 5R",2D
alabama,1988,"5D, 2R",,D,D,R,R,"89D, 16R","30D, 5R",2D
alabama,1989,"5D, 2R",,D,D,R,R,"82D, 23R","27D, 8R",2D
alabama,1990,"5D, 2R",,D,D,R,R,"82D, 23R","27D, 8R",2D
alabama,1991,"5D, 2R",,D,D,R,R,"82D, 23R","28D, 7R",2D
alabama,1992,"5D, 2R",,D,D,R,R,"82D, 23R","28D, 7R",2D
alabama,1993,"4D, 3R",,D,D,R,R,"82D, 23R","27D, 8R",2D
alabama,1993,"4D, 3R",,D,D,R,D,"82D, 23R","27D, 8R",2D
alabama,1994,"4D, 3R",,D,D,R,D,"82D, 23R","27D, 8R",2D
alabama,1995,"4D, 3R",,D,R,R,R,"73D, 32R","23D, 12R","1D,1R"
alabama,1996,"4D, 3R",,D,R,R,R,"73D, 32R","23D, 12R","1D,1R"
alabama,1997,"5R, 2D",,R,R,R,R,"71D, 34R","23D, 12R",2R
alabama,1998,"5R, 2D",,R,R,R,R,"68D, 37R","21D, 14R",2R
alabama,1999,"5R, 2D",,R,R,R,D,"69D, 36R","23D, 12R",2R
alabama,2000,"5R, 2D",,R,R,R,D,"69D, 36R","24D, 11R",2R
alabama,2001,"5R, 2D",,R,R,R,D,"68D, 37R","24D, 11R",2R
alabama,2002,"5R, 2D",,R,R,R,D,"67D, 38R","24D, 11R",2R
alabama,2003,"5R, 2D",,R,R,R,R,"63D, 42R","25D, 10R",2R
alabama,2004,"5R, 2D",,R,R,R,R,"63D, 42R","25D, 10R",2R
alabama,2004,"5R, 2D",,R,R,R,R,"63D, 42R","25D, 10R",2R
alabama,2005,"5R, 2D",,R,R,R,R,"63D, 42R","25D, 10R",2R
alabama,2006,"5R, 2D",,R,R,R,R,"62D, 43R","25D, 10R",2R
alabama,2007,"5R, 2D",,R,R,R,R,"62D, 43R","23D, 12R",2R
alabama,2008,"5R, 2D",,R,R,R,R,"62D, 43R","22D, 13R",2R
alabama,2009,"4R, 3D",,R,R,R,R,"62D, 43R","21D, 13R, 1I",2R
alabama,2010,"5R, 2D",,R,R,R,R,"60D, 45R","20D, 14R, 1I",2R
alabama,2011,"6R, 1D",,R,R,R,R,"66R, 39D","22R, 12D, 1I",2R
alabama,2012,"6R, 1D",,R,R,R,R,"66R, 39D","22R, 12D, 1I",2R
alabama,2013,"6R, 1D",,R,R,R,R,"66R, 38D, 1I","23R, 11D, 1I",2R
alabama,2013,"6R, 1D",,R,R,R,R,"66R, 38D, 1I","23R, 11D, 1I",2R
alabama,2014,"6R, 1D",,R,R,R,R,"67R, 37D, 1I","23R, 11D, 1I",2R
alabama,2015,"6R, 1D",,R,R,R,R,"72R, 33D","26R, 8D, 1I",2R
alaska,1980,1R,,R,D,R,R,"25D, 14R, 1L","11R, 9D","1D,1R"
alaska,1981,1R,,R,R,R,R,"22D, 16R, 2L","10D, 10R",2R
alaska,1981,1R,,R,R,R,R,,"10D, 10R",2R
alaska,1982,1R,,R,R,R,R,,"10D, 10R",2R
alaska,1983,1R,,R,R,R,D,"20D, 20R","11R, 9D",2R
alaska,1984,1R,,R,R,R,D,"20D, 20R","11R, 9D",2R
alaska,1985,1R,,R,R,R,D,"21D, 18R, 1L","11R, 9D",2R
